,n steps,MSE,MAE,MAPE,eps
0,0,2426.5684,41.068634,1.1571511,0.001
1,1,2426.6182,41.06927,1.1571695,0.001
2,2,2426.6675,41.069916,1.1571879,0.001
3,3,2426.717,41.07056,1.1572063,0.001
4,4,2426.7668,41.071205,1.1572247,0.001
5,5,2426.8164,41.07185,1.157243,0.001
6,6,2426.8665,41.07249,1.1572615,0.001
7,7,2426.916,41.073135,1.1572798,0.001
8,8,2426.9653,41.07378,1.1572982,0.001
9,9,2427.0151,41.074425,1.1573166,0.001
10,10,2427.0647,41.075066,1.1573349,0.001
11,11,2427.114,41.07571,1.1573532,0.001
12,12,2427.1638,41.07635,1.1573719,0.001
13,13,2427.2134,41.077003,1.15739,0.001
14,14,2427.263,41.07764,1.1574085,0.001
15,15,2427.3125,41.07829,1.1574268,0.001
16,16,2427.3623,41.078926,1.1574451,0.001
17,17,2427.412,41.07957,1.1574636,0.001
18,18,2427.4612,41.080215,1.1574818,0.001
19,19,2427.511,41.080856,1.1575003,0.001
20,20,2427.5608,41.0815,1.1575186,0.001
21,21,2427.61,41.082146,1.1575369,0.001
22,22,2427.6597,41.08279,1.1575553,0.001
23,23,2427.7095,41.08343,1.1575736,0.001
24,24,2427.7585,41.084076,1.157592,0.001
25,25,2427.8083,41.08472,1.1576104,0.001
26,26,2427.858,41.08536,1.1576287,0.001
27,27,2427.9075,41.086002,1.157647,0.001
28,28,2427.957,41.086647,1.1576654,0.001
29,29,2428.0066,41.087288,1.1576836,0.001
30,30,2428.0562,41.087933,1.1577021,0.001
31,31,2428.1057,41.088577,1.1577204,0.001
32,32,2428.1553,41.089222,1.1577389,0.001
33,33,2428.2046,41.089867,1.157757,0.001
34,34,2428.2546,41.090508,1.1577754,0.001
35,35,2428.304,41.091152,1.1577936,0.001
36,36,2428.3535,41.091793,1.1578121,0.001
37,37,2428.403,41.09244,1.1578304,0.001
38,38,2428.4526,41.09308,1.157849,0.001
39,39,2428.5022,41.093723,1.1578671,0.001
40,40,2428.5518,41.094364,1.1578854,0.001
41,41,2428.601,41.095005,1.1579038,0.001
42,42,2428.6506,41.09565,1.157922,0.001
43,43,2428.7002,41.09629,1.1579404,0.001
44,44,2428.7498,41.09693,1.1579587,0.001
45,45,2428.7993,41.097576,1.157977,0.001
46,46,2428.8486,41.098217,1.1579953,0.001
47,47,2428.8982,41.09886,1.1580136,0.001
48,48,2428.9478,41.099506,1.158032,0.001
49,49,2428.997,41.100147,1.1580503,0.001
0,0,2426.7976,41.071598,1.1572361,0.005623413251903491
1,1,2427.077,41.075214,1.1573395,0.005623413251903491
2,2,2427.3555,41.078827,1.1574427,0.005623413251903491
3,3,2427.6345,41.082436,1.1575459,0.005623413251903491
4,4,2427.913,41.08604,1.157649,0.005623413251903491
5,5,2428.1914,41.089653,1.1577522,0.005623413251903491
6,6,2428.47,41.09326,1.1578553,0.005623413251903491
7,7,2428.7485,41.09687,1.1579581,0.005623413251903491
8,8,2429.0266,41.10048,1.158061,0.005623413251903491
9,9,2429.3047,41.104088,1.1581639,0.005623413251903491
10,10,2429.583,41.107685,1.1582667,0.005623413251903491
11,11,2429.8608,41.11129,1.1583695,0.005623413251903491
12,12,2430.139,41.11489,1.1584722,0.005623413251903491
13,13,2430.4165,41.118496,1.1585747,0.005623413251903491
14,14,2430.6943,41.122093,1.1586773,0.005623413251903491
15,15,2430.972,41.12569,1.1587799,0.005623413251903491
16,16,2431.2498,41.129295,1.1588825,0.005623413251903491
17,17,2431.5269,41.13289,1.1589848,0.005623413251903491
18,18,2431.8042,41.136486,1.1590871,0.005623413251903491
19,19,2432.0815,41.140087,1.1591895,0.005623413251903491
20,20,2432.3586,41.143677,1.1592916,0.005623413251903491
21,21,2432.636,41.147278,1.1593938,0.005623413251903491
22,22,2432.9126,41.150864,1.1594958,0.005623413251903491
23,23,2433.1897,41.154457,1.159598,0.005623413251903491
24,24,2433.4666,41.15805,1.1596999,0.005623413251903491
25,25,2433.7432,41.16164,1.1598018,0.005623413251903491
26,26,2434.0195,41.16523,1.1599038,0.005623413251903491
27,27,2434.296,41.168816,1.1600056,0.005623413251903491
28,28,2434.5725,41.1724,1.1601074,0.005623413251903491
29,29,2434.8486,41.175995,1.1602091,0.005623413251903491
30,30,2435.125,41.179577,1.1603107,0.005623413251903491
31,31,2435.4011,41.18316,1.1604123,0.005623413251903491
32,32,2435.677,41.186745,1.1605139,0.005623413251903491
33,33,2435.953,41.19033,1.1606154,0.005623413251903491
34,34,2436.2285,41.19391,1.1607168,0.005623413251903491
35,35,2436.5046,41.19749,1.160818,0.005623413251903491
36,36,2436.7803,41.20107,1.1609193,0.005623413251903491
37,37,2437.056,41.20465,1.1610206,0.005623413251903491
38,38,2437.3313,41.20823,1.1611218,0.005623413251903491
39,39,2437.6067,41.211803,1.161223,0.005623413251903491
40,40,2437.8818,41.21538,1.1613241,0.005623413251903491
41,41,2438.157,41.218952,1.1614252,0.005623413251903491
42,42,2438.4321,41.222534,1.1615261,0.005623413251903491
43,43,2438.707,41.226105,1.1616269,0.005623413251903491
44,44,2438.982,41.229675,1.1617279,0.005623413251903491
45,45,2439.2568,41.23325,1.1618286,0.005623413251903491
46,46,2439.5312,41.23682,1.1619294,0.005623413251903491
47,47,2439.8062,41.240387,1.1620301,0.005623413251903491
48,48,2440.0803,41.24396,1.1621307,0.005623413251903491
49,49,2440.3547,41.247524,1.1622314,0.005623413251903491
0,0,2428.0867,41.088284,1.1577133,0.03162277660168379
1,1,2429.6514,41.10856,1.1582919,0.03162277660168379
2,2,2431.2131,41.128796,1.1588689,0.03162277660168379
3,3,2432.7717,41.149006,1.159444,0.03162277660168379
4,4,2434.3276,41.16919,1.1600171,0.03162277660168379
5,5,2435.8804,41.18934,1.1605885,0.03162277660168379
6,6,2437.4304,41.20946,1.1611582,0.03162277660168379
7,7,2438.977,41.229553,1.161726,0.03162277660168379
8,8,2440.5212,41.24961,1.1622921,0.03162277660168379
9,9,2442.062,41.269646,1.1628563,0.03162277660168379
10,10,2443.6,41.28965,1.1634188,0.03162277660168379
11,11,2445.1353,41.309628,1.1639795,0.03162277660168379
12,12,2446.6675,41.329567,1.1645383,0.03162277660168379
13,13,2448.1965,41.34949,1.1650954,0.03162277660168379
14,14,2449.7227,41.369377,1.1656507,0.03162277660168379
15,15,2451.2463,41.38924,1.1662045,0.03162277660168379
16,16,2452.767,41.40907,1.1667563,0.03162277660168379
17,17,2454.2844,41.428875,1.1673063,0.03162277660168379
18,18,2455.7993,41.44865,1.1678547,0.03162277660168379
19,19,2457.311,41.468395,1.1684011,0.03162277660168379
20,20,2458.8203,41.488117,1.1689461,0.03162277660168379
21,21,2460.3262,41.507816,1.1694893,0.03162277660168379
22,22,2461.8296,41.52747,1.1700306,0.03162277660168379
23,23,2463.3303,41.54711,1.1705701,0.03162277660168379
24,24,2464.8276,41.566727,1.1711084,0.03162277660168379
25,25,2466.3225,41.586304,1.1716444,0.03162277660168379
26,26,2467.8147,41.60586,1.172179,0.03162277660168379
27,27,2469.3037,41.62539,1.172712,0.03162277660168379
28,28,2470.7905,41.64489,1.1732432,0.03162277660168379
29,29,2472.2742,41.66437,1.1737726,0.03162277660168379
30,30,2473.755,41.68382,1.1743003,0.03162277660168379
31,31,2475.233,41.70324,1.1748264,0.03162277660168379
32,32,2476.7083,41.722633,1.1753509,0.03162277660168379
33,33,2478.181,41.742004,1.1758736,0.03162277660168379
34,34,2479.651,41.76135,1.1763947,0.03162277660168379
35,35,2481.1182,41.780663,1.1769142,0.03162277660168379
36,36,2482.5825,41.799957,1.1774318,0.03162277660168379
37,37,2484.0442,41.81922,1.1779481,0.03162277660168379
38,38,2485.5034,41.838467,1.1784625,0.03162277660168379
39,39,2486.9597,41.857677,1.1789753,0.03162277660168379
