,n steps,ACC,ROC AUC,PR AUC,eps
0,0,0.7627272727272727,0.7621297043149745,0.6899117078424902,0.01
1,1,0.7616666666666667,0.7611114558127029,0.6886087509664434,0.01
2,2,0.7610606060606061,0.7605144326556499,0.687925002184891,0.01
3,3,0.7608333333333334,0.760298994160755,0.6876368409674651,0.01
4,4,0.7608333333333334,0.760298994160755,0.6876368409674651,0.01
5,5,0.7606818181818182,0.760147325460349,0.6874754228437342,0.01
6,6,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
7,7,0.7607575757575757,0.7602303985439806,0.687528678564896,0.01
8,8,0.7607575757575757,0.7602303985439806,0.687528678564896,0.01
9,9,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
10,10,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
11,11,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
12,12,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
13,13,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
14,14,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
15,15,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
16,16,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
17,17,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
18,18,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
19,19,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
20,20,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
21,21,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
22,22,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
23,23,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
24,24,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
25,25,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
26,26,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
27,27,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
28,28,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
29,29,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
30,30,0.7608333333333334,0.7603086458053263,0.6876002257346685,0.01
