,n steps,ACC,ROC AUC,PR AUC,eps
0,0,0.7666666666666667,0.7660441355918182,0.6942688819330692,0.001
1,1,0.7657575757575757,0.7651486008562388,0.6932282402209631,0.001
2,2,0.7646212121212121,0.7640376276257643,0.6918980165821749,0.001
3,3,0.764090909090909,0.7635285033746285,0.6912424031387685,0.001
4,4,0.7636363636363637,0.7631072780294099,0.6906226834692364,0.001
5,5,0.7641666666666667,0.7636453572142596,0.6911629159735564,0.001
6,6,0.7636363636363637,0.7631024522071242,0.6906414834140955,0.001
7,7,0.7638636363636364,0.7633564972803045,0.6907816627136896,0.001
8,8,0.7632575757575758,0.7627739515901084,0.6900396470398027,0.001
9,9,0.7638636363636364,0.7633951038585897,0.6906319258770344,0.001
10,10,0.7637878787878788,0.7633168565972438,0.690560206833888,0.001
11,11,0.7632575757575758,0.7628173839906793,0.6898727877754313,0.001
12,12,0.7628787878787879,0.7624406251508069,0.6894593595533605,0.001
13,13,0.7618181818181818,0.7613837700702502,0.6883110541138264,0.001
14,14,0.7615151515151515,0.7610756068471525,0.688006843511702,0.001
15,15,0.7606818181818182,0.7602679710174901,0.6870221557533075,0.001
16,16,0.76,0.75958304895452,0.6863081884208644,0.001
17,17,0.7592424242424243,0.758834357097061,0.6854706417157571,0.001
18,18,0.7591666666666667,0.7587657614802864,0.6853639951257833,0.001
19,19,0.7591666666666667,0.7587802389471434,0.6853110222741047,0.001
20,20,0.759090909090909,0.7587116433303689,0.6852045493066009,0.001
21,21,0.7592424242424243,0.7588633120307751,0.6853646206255531,0.001
22,22,0.7587878787878788,0.7584131317518423,0.6848670043549738,0.001
23,23,0.7586363636363637,0.7582759405182933,0.6846546053362116,0.001
24,24,0.7578787878787879,0.7575369003054055,0.6837869019573578,0.001
25,25,0.7578787878787879,0.7575417261276912,0.6837696012346117,0.001
26,26,0.7573484848484848,0.7570084727651272,0.6832205116603215,0.001
27,27,0.7571212121212121,0.7567978600925178,0.682921622039391,0.001
28,28,0.7571969696969697,0.7568761073538637,0.6829926103549935,0.001
29,29,0.7571969696969697,0.756885758998435,0.6829583553034491,0.001
30,30,0.7571212121212121,0.7568171633816605,0.682853185829882,0.001
31,31,0.756969696969697,0.7566703205035401,0.6826771479212823,0.001
32,32,0.7570454545454546,0.7567533935871716,0.6827310456362377,0.001
33,33,0.7571969696969697,0.7569098881098634,0.6828729331468606,0.001
34,34,0.7565909090909091,0.756317690775096,0.6821867244230455,0.001
35,35,0.7565909090909091,0.756317690775096,0.6821867244230455,0.001
36,36,0.7565151515151515,0.7562539209806072,0.6820651625507074,0.001
37,37,0.7565909090909091,0.756332168241953,0.6821360218372637,0.001
38,38,0.7562121212121212,0.7559602352243663,0.6817144452898551,0.001
39,39,0.7559848484848485,0.7557496225517569,0.6814182214618295,0.001
40,40,0.7559090909090909,0.7556762011126967,0.6813307292730171,0.001
41,41,0.7559848484848485,0.7557544483740426,0.6814015025026513,0.001
42,42,0.7559848484848485,0.7557592741963283,0.6813847955507525,0.001
43,43,0.7559848484848485,0.7557689258408995,0.6813514176237856,0.001
44,44,0.7558333333333334,0.755622082962779,0.6811766053627056,0.001
45,45,0.7556818181818182,0.755470414262373,0.681018512965523,0.001
46,46,0.7558333333333334,0.7556269087850647,0.6811599704899342,0.001
47,47,0.7558333333333334,0.7556317346073503,0.6811433475532267,0.001
48,48,0.755530303030303,0.7553380488511096,0.6807941944509721,0.001
49,49,0.755530303030303,0.7553380488511096,0.6807941944509721,0.001
0,0,0.7656818181818181,0.7651041343508924,0.6930208044554735,0.005623413251903491
1,1,0.7634090909090909,0.7629352719350859,0.6901644295724573,0.005623413251903491
2,2,0.761439393939394,0.7610166628749492,0.6878627644527078,0.005623413251903491
3,3,0.759090909090909,0.7587116433303689,0.6852045493066009,0.005623413251903491
4,4,0.7582575757575758,0.7578895300338496,0.684281406087879,0.005623413251903491
5,5,0.7572727272727273,0.7569640062597809,0.6830293343845587,0.005623413251903491
6,6,0.7568181818181818,0.7565524325591335,0.6823993759969833,0.005623413251903491
7,7,0.7559090909090909,0.7556762011126967,0.6813307292730171,0.005623413251903491
8,8,0.755530303030303,0.7553283972065382,0.6808273081532517,0.005623413251903491
9,9,0.7553787878787879,0.7551960317952748,0.680603278048889,0.005623413251903491
10,10,0.755,0.7548289245999737,0.6801678098152695,0.005623413251903491
11,11,0.7547727272727273,0.7546134861050788,0.6798905058535973,0.005623413251903491
12,12,0.7546212121212121,0.7544666432269583,0.6797167063872289,0.005623413251903491
13,13,0.7546212121212121,0.7544714690492441,0.6797004053270301,0.005623413251903491
