,n steps,ACC,ROC AUC,PR AUC,eps
0,0,0.7660606060606061,0.7653505959890523,0.6939668968170198,0.001
1,1,0.7640151515151515,0.7633730429567124,0.6914756825028296,0.001
2,2,0.7643939393939394,0.7637980600194413,0.691701350071241,0.001
3,3,0.7641666666666667,0.7635922731691175,0.6913712459015521,0.001
4,4,0.7637121212121212,0.7631469187124706,0.6908452958788185,0.001
5,5,0.7625,0.7620011306212211,0.6892858289820303,0.001
6,6,0.7620454545454546,0.7615219954085749,0.6888929553583402,0.001
7,7,0.761969696969697,0.7614678772586572,0.6887290069579843,0.001
8,8,0.7609848484848485,0.7605375276623028,0.6874702109274492,0.001
9,9,0.761439393939394,0.7609587530075214,0.6880811531779044,0.001
10,10,0.761969696969697,0.7615016580146567,0.688600339345637,0.001
11,11,0.7609090909090909,0.7604737578678138,0.6873445003369559,0.001
12,12,0.7609090909090909,0.7604834095123851,0.6873083983080548,0.001
13,13,0.7612878787878787,0.7608456908854005,0.6877742202381883,0.001
14,14,0.7602272727272728,0.7598177907385576,0.6865222286097538,0.001
15,15,0.7606818181818182,0.7602583193729189,0.687058116712946,0.001
16,16,0.7608333333333334,0.7604437688293245,0.6870931330107234,0.001
17,17,0.7600757575757576,0.7596950769718654,0.686254782778625,0.001
18,18,0.7608333333333334,0.7604389430070388,0.6871110676460318,0.001
19,19,0.7609090909090909,0.760512364446099,0.6872004039360533,0.001
20,20,0.7611363636363636,0.7607374545855654,0.6874505712359356,0.001
21,21,0.7606060606060606,0.7602186786898583,0.6868432281338629,0.001
22,22,0.7602272727272728,0.7598419198499858,0.6864329958794486,0.001
23,23,0.7606060606060606,0.7602186786898583,0.6868432281338629,0.001
24,24,0.7601515151515151,0.75976367258864,0.6863616770917685,0.001
25,25,0.7603030303030303,0.7599201671113318,0.6865043176419108,0.001
26,26,0.7603030303030303,0.7599298187559032,0.6864687020834321,0.001
27,27,0.760530303030303,0.7601452572507981,0.686754004704521,0.001
28,28,0.7602272727272728,0.7598467456722715,0.6864151878672232,0.001
29,29,0.76,0.7596264813550909,0.6861479673495519,0.001
30,30,0.7600757575757576,0.7597047286164368,0.6862192554783242,0.001
31,31,0.7601515151515151,0.7597733242332113,0.6863260862358178,0.001
32,32,0.7599242424242424,0.759548234093745,0.6860766822038318,0.001
33,33,0.7599242424242424,0.7595434082714595,0.686094427111951,0.001
34,34,0.7600757575757576,0.7597095544387225,0.6862015109983921,0.001
35,35,0.7599242424242424,0.7595578857383163,0.6860412306925509,0.001
36,36,0.7596212121212121,0.7592545483375043,0.6857208182063037,0.001
37,37,0.7599242424242424,0.7595627115606021,0.6860235240652256,0.001
38,38,0.7597727272727273,0.759411042860196,0.6858633182075413,0.001
39,39,0.7599242424242424,0.7595530599160306,0.6860589500680616,0.001
40,40,0.7599242424242424,0.7595578857383163,0.6860412306925509,0.001
41,41,0.7598484848484849,0.7594699868323991,0.6860054000425769,0.001
42,42,0.7599242424242424,0.7595627115606021,0.6860235240652256,0.001
43,43,0.7596212121212121,0.75925937415979,0.6857031617094288,0.001
44,44,0.7599242424242424,0.7595627115606021,0.6860235240652256,0.001
45,45,0.7599242424242424,0.7595578857383163,0.6860412306925509,0.001
46,46,0.7599242424242424,0.7595627115606021,0.6860235240652256,0.001
47,47,0.76,0.7596361329996623,0.6861125034949845,0.001
48,48,0.7596212121212121,0.75925937415979,0.6857031617094288,0.001
49,49,0.7598484848484849,0.7594844642992562,0.685952260419093,0.001
0,0,0.7625757575757576,0.761997338903711,0.6896742188077963,0.005623413251903491
1,1,0.7615909090909091,0.7611007700633562,0.6882791716260679,0.005623413251903491
2,2,0.7607575757575757,0.7603124375228364,0.6872196849335658,0.005623413251903491
3,3,0.7606818181818182,0.7602534935506332,0.687076116648015,0.005623413251903491
4,4,0.7603787878787879,0.7599646336166781,0.6867007449030311,0.005623413251903491
5,5,0.7601515151515151,0.7597395434772117,0.6864508789085363,0.005623413251903491
6,6,0.7604545454545455,0.7600332292334525,0.6868079879150801,0.005623413251903491
7,7,0.7604545454545455,0.7600332292334525,0.6868079879150801,0.005623413251903491
8,8,0.7602272727272728,0.7598129649162719,0.6865401137750234,0.005623413251903491
9,9,0.7603030303030303,0.7598815605330465,0.686647294061128,0.005623413251903491
10,10,0.7603030303030303,0.7598912121776178,0.686611472633268,0.005623413251903491
11,11,0.7601515151515151,0.7597347176549261,0.686468757885468,0.005623413251903491
12,12,0.7601515151515151,0.7597347176549261,0.686468757885468,0.005623413251903491
13,13,0.7601515151515151,0.7597347176549261,0.686468757885468,0.005623413251903491
14,14,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
15,15,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
16,16,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
17,17,0.7603030303030303,0.7598912121776178,0.686611472633268,0.005623413251903491
18,18,0.7603030303030303,0.7598912121776178,0.686611472633268,0.005623413251903491
19,19,0.7602272727272728,0.7598081390939864,0.6865580118418926,0.005623413251903491
20,20,0.7602272727272728,0.7598129649162719,0.6865401137750234,0.005623413251903491
21,21,0.7603787878787879,0.7599646336166781,0.6867007449030311,0.005623413251903491
22,22,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
23,23,0.7603787878787879,0.7599646336166781,0.6867007449030311,0.005623413251903491
24,24,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
25,25,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
26,26,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
27,27,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
28,28,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
29,29,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
30,30,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
31,31,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
32,32,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
33,33,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
34,34,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
35,35,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
36,36,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
37,37,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
38,38,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
39,39,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
40,40,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
41,41,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
42,42,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
43,43,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
44,44,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
45,45,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
46,46,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
47,47,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
48,48,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
49,49,0.7603030303030303,0.7598863863553322,0.6866293768893317,0.005623413251903491
0,0,0.7609090909090909,0.7600876920849622,0.6888324016530819,0.03162277660168379
1,1,0.7603787878787879,0.7595158321441128,0.6884245730523544,0.03162277660168379
2,2,0.7603787878787879,0.7595061804995415,0.6884629482115918,0.03162277660168379
3,3,0.7602272727272728,0.7593545117991354,0.6882998403509354,0.03162277660168379
4,4,0.7603030303030303,0.7594279332381957,0.6883909838093359,0.03162277660168379
5,5,0.7602272727272728,0.7593496859768498,0.6883190222706494,0.03162277660168379
6,6,0.7600757575757576,0.7591931914541581,0.6881751077895947,0.03162277660168379
7,7,0.7600757575757576,0.7591931914541581,0.6881751077895947,0.03162277660168379
