,n steps,MSE,MAE,MAPE,eps
0,0,1978.2842,36.913662,1.0369031,0.001
1,1,1978.5249,36.916485,1.0369928,0.001
2,2,1978.7656,36.919304,1.0370826,0.001
3,3,1979.0059,36.92213,1.037172,0.001
4,4,1979.2465,36.924953,1.0372616,0.001
5,5,1979.4869,36.927773,1.037351,0.001
6,6,1979.7273,36.9306,1.0374405,0.001
7,7,1979.9675,36.93342,1.03753,0.001
8,8,1980.2079,36.93624,1.0376195,0.001
9,9,1980.448,36.939064,1.0377088,0.001
10,10,1980.6884,36.941883,1.037798,0.001
11,11,1980.9283,36.944702,1.0378875,0.001
12,12,1981.1685,36.947525,1.0379767,0.001
13,13,1981.4082,36.950344,1.0380659,0.001
14,14,1981.6483,36.95316,1.0381551,0.001
15,15,1981.8881,36.955982,1.0382444,0.001
16,16,1982.128,36.958797,1.0383334,0.001
17,17,1982.3679,36.961613,1.0384225,0.001
18,18,1982.6075,36.964436,1.0385116,0.001
19,19,1982.8473,36.96725,1.0386007,0.001
20,20,1983.087,36.970066,1.0386896,0.001
21,21,1983.3264,36.97288,1.0387785,0.001
22,22,1983.5659,36.9757,1.0388676,0.001
23,23,1983.8057,36.978516,1.0389565,0.001
24,24,1984.045,36.981327,1.0390452,0.001
25,25,1984.2844,36.984142,1.039134,0.001
26,26,1984.5236,36.986954,1.039223,0.001
27,27,1984.7628,36.989773,1.0393116,0.001
28,28,1985.002,36.992584,1.0394005,0.001
29,29,1985.2412,36.995396,1.039489,0.001
30,30,1985.4803,36.998207,1.0395777,0.001
31,31,1985.7194,37.00102,1.0396664,0.001
32,32,1985.9584,37.003826,1.039755,0.001
33,33,1986.1973,37.00664,1.0398434,0.001
34,34,1986.4363,37.009457,1.0399321,0.001
35,35,1986.675,37.01226,1.0400205,0.001
36,36,1986.914,37.01507,1.0401089,0.001
37,37,1987.1527,37.01788,1.0401974,0.001
38,38,1987.3915,37.02069,1.0402857,0.001
39,39,1987.6299,37.023502,1.040374,0.001
40,40,1987.8683,37.026306,1.0404624,0.001
41,41,1988.1073,37.029114,1.0405507,0.001
42,42,1988.3456,37.03192,1.0406388,0.001
43,43,1988.5841,37.03473,1.040727,0.001
44,44,1988.8223,37.037537,1.0408152,0.001
45,45,1989.0608,37.04034,1.0409034,0.001
46,46,1989.2991,37.043144,1.0409914,0.001
47,47,1989.5372,37.04595,1.0410796,0.001
48,48,1989.7755,37.048756,1.0411676,0.001
49,49,1990.0133,37.05156,1.0412556,0.001
0,0,1979.3965,36.926697,1.0373173,0.005623413251903491
1,1,1980.7473,36.94255,1.0378201,0.005623413251903491
2,2,1982.0964,36.958385,1.0383216,0.005623413251903491
3,3,1983.4445,36.97421,1.0388223,0.005623413251903491
4,4,1984.7902,36.990017,1.0393218,0.005623413251903491
5,5,1986.1348,37.005817,1.0398201,0.005623413251903491
6,6,1987.4774,37.0216,1.0403175,0.005623413251903491
7,7,1988.8186,37.037365,1.0408138,0.005623413251903491
8,8,1990.1578,37.053127,1.0413088,0.005623413251903491
9,9,1991.4957,37.06887,1.0418029,0.005623413251903491
10,10,1992.832,37.084606,1.0422958,0.005623413251903491
11,11,1994.1663,37.100327,1.0427877,0.005623413251903491
12,12,1995.4991,37.116035,1.0432786,0.005623413251903491
13,13,1996.8302,37.131733,1.0437683,0.005623413251903491
14,14,1998.1595,37.14741,1.044257,0.005623413251903491
15,15,1999.4878,37.163086,1.0447447,0.005623413251903491
16,16,2000.814,37.178745,1.0452312,0.005623413251903491
17,17,2002.1385,37.194393,1.0457169,0.005623413251903491
18,18,2003.4614,37.21002,1.0462013,0.005623413251903491
19,19,2004.7832,37.22564,1.0466847,0.005623413251903491
20,20,2006.1029,37.241245,1.047167,0.005623413251903491
21,21,2007.421,37.25684,1.0476482,0.005623413251903491
22,22,2008.7379,37.27242,1.0481285,0.005623413251903491
23,23,2010.0524,37.28799,1.0486078,0.005623413251903491
24,24,2011.366,37.303543,1.0490857,0.005623413251903491
25,25,2012.6779,37.31908,1.0495629,0.005623413251903491
26,26,2013.988,37.334614,1.0500388,0.005623413251903491
27,27,2015.2964,37.350136,1.050514,0.005623413251903491
28,28,2016.6036,37.365646,1.050988,0.005623413251903491
29,29,2017.909,37.381145,1.0514609,0.005623413251903491
30,30,2019.2128,37.396637,1.0519328,0.005623413251903491
31,31,2020.5151,37.412113,1.0524037,0.005623413251903491
32,32,2021.8157,37.427578,1.0528736,0.005623413251903491
33,33,2023.115,37.44303,1.0533425,0.005623413251903491
34,34,2024.4124,37.458473,1.0538104,0.005623413251903491
35,35,2025.7083,37.473907,1.0542773,0.005623413251903491
36,36,2027.0029,37.48932,1.054743,0.005623413251903491
37,37,2028.2958,37.504726,1.0552081,0.005623413251903491
