,n steps,MSE,MAE,MAPE,eps
0,0,516.80853,18.43569,0.41703558,0.001
1,1,517.0317,18.441315,0.41719827,0.001
2,2,517.255,18.44694,0.417361,0.001
3,3,517.4783,18.452562,0.41752374,0.001
4,4,517.7017,18.458189,0.41768652,0.001
5,5,517.92523,18.463814,0.4178493,0.001
6,6,518.1488,18.46944,0.4180121,0.001
7,7,518.37244,18.475067,0.41817495,0.001
8,8,518.5961,18.480694,0.41833776,0.001
9,9,518.82,18.48632,0.4185006,0.001
10,10,519.04395,18.491947,0.41866347,0.001
11,11,519.2679,18.497574,0.41882637,0.001
12,12,519.49194,18.503202,0.4189893,0.001
13,13,519.71606,18.508831,0.41915223,0.001
14,14,519.9403,18.514458,0.41931516,0.001
15,15,520.16455,18.520086,0.41947812,0.001
16,16,520.389,18.525717,0.41964105,0.001
17,17,520.6134,18.531343,0.419804,0.001
18,18,520.83795,18.536974,0.419967,0.001
19,19,521.06256,18.542603,0.42013,0.001
20,20,521.28723,18.548235,0.42029303,0.001
21,21,521.51196,18.553864,0.42045605,0.001
22,22,521.7368,18.559496,0.42061916,0.001
23,23,521.96173,18.565128,0.42078218,0.001
24,24,522.18677,18.57076,0.4209453,0.001
25,25,522.4118,18.576393,0.4211084,0.001
26,26,522.637,18.582026,0.42127156,0.001
27,27,522.8623,18.587658,0.42143476,0.001
28,28,523.0876,18.593292,0.42159793,0.001
29,29,523.313,18.598927,0.4217611,0.001
30,30,523.53845,18.60456,0.4219243,0.001
31,31,523.76404,18.610193,0.4220875,0.001
32,32,523.9897,18.615831,0.4222508,0.001
33,33,524.2154,18.621466,0.42241406,0.001
34,34,524.4412,18.6271,0.42257735,0.001
35,35,524.6672,18.632736,0.4227407,0.001
36,36,524.8931,18.638376,0.42290407,0.001
37,37,525.11926,18.644012,0.42306748,0.001
38,38,525.3454,18.64965,0.42323092,0.001
39,39,525.57166,18.65529,0.42339438,0.001
40,40,525.7979,18.660929,0.4235578,0.001
41,41,526.02435,18.666569,0.42372128,0.001
42,42,526.25085,18.672207,0.42388475,0.001
43,43,526.47736,18.677845,0.42404824,0.001
44,44,526.70404,18.683489,0.42421186,0.001
45,45,526.93085,18.689129,0.42437544,0.001
46,46,527.1576,18.69477,0.42453897,0.001
47,47,527.38446,18.700413,0.42470258,0.001
48,48,527.61145,18.706055,0.42486617,0.001
49,49,527.83844,18.711695,0.42502984,0.001
0,0,517.8411,18.461681,0.41778824,0.005623413251903491
1,1,519.09924,18.493309,0.41870424,0.005623413251903491
2,2,520.36,18.524948,0.41962075,0.005623413251903491
3,3,521.6232,18.556595,0.42053765,0.005623413251903491
4,4,522.889,18.588255,0.42145506,0.005623413251903491
5,5,524.1573,18.619923,0.42237303,0.005623413251903491
6,6,525.42816,18.651608,0.42329195,0.005623413251903491
7,7,526.7016,18.683308,0.42421153,0.005623413251903491
8,8,527.97766,18.715017,0.42513177,0.005623413251903491
9,9,529.2563,18.74674,0.4260526,0.005623413251903491
10,10,530.53754,18.778477,0.42697415,0.005623413251903491
11,11,531.8215,18.810232,0.42789638,0.005623413251903491
12,12,533.108,18.842005,0.4288197,0.005623413251903491
13,13,534.39716,18.873804,0.42974436,0.005623413251903491
14,14,535.6891,18.905615,0.43066993,0.005623413251903491
15,15,536.98346,18.937437,0.43159592,0.005623413251903491
16,16,538.2805,18.969278,0.43252292,0.005623413251903491
17,17,539.5804,19.001127,0.4334508,0.005623413251903491
18,18,540.8828,19.032999,0.43437964,0.005623413251903491
19,19,542.18787,19.064884,0.43530908,0.005623413251903491
20,20,543.49554,19.096775,0.43623918,0.005623413251903491
21,21,544.80585,19.128675,0.43716982,0.005623413251903491
22,22,546.1189,19.160608,0.4381021,0.005623413251903491
23,23,547.4349,19.192568,0.4390362,0.005623413251903491
24,24,548.7536,19.224545,0.43997157,0.005623413251903491
25,25,550.07495,19.256535,0.4409079,0.005623413251903491
26,26,551.39905,19.28854,0.4418449,0.005623413251903491
27,27,552.72595,19.32056,0.4427829,0.005623413251903491
28,28,554.0554,19.352596,0.44372144,0.005623413251903491
29,29,555.3877,19.38464,0.44466075,0.005623413251903491
30,30,556.72284,19.416706,0.44560173,0.005623413251903491
31,31,558.06067,19.448792,0.44654396,0.005623413251903491
32,32,559.40137,19.480892,0.4474869,0.005623413251903491
33,33,560.74475,19.513008,0.44843054,0.005623413251903491
34,34,562.0908,19.54514,0.4493752,0.005623413251903491
35,35,563.43976,19.577284,0.45032108,0.005623413251903491
36,36,564.79126,19.609436,0.45126745,0.005623413251903491
37,37,566.1455,19.641602,0.45221457,0.005623413251903491
38,38,567.50256,19.673784,0.45316282,0.005623413251903491
39,39,568.8624,19.705982,0.45411217,0.005623413251903491
40,40,570.22504,19.738194,0.45506233,0.005623413251903491
41,41,571.59033,19.770414,0.4560131,0.005623413251903491
42,42,572.9583,19.802647,0.45696455,0.005623413251903491
43,43,574.3292,19.8349,0.45791736,0.005623413251903491
44,44,575.7032,19.867182,0.45887247,0.005623413251903491
45,45,577.08,19.899485,0.4598291,0.005623413251903491
46,46,578.4598,19.931808,0.46078673,0.005623413251903491
47,47,579.84235,19.96414,0.46174526,0.005623413251903491
48,48,581.2277,19.996483,0.46270445,0.005623413251903491
49,49,582.61597,20.02884,0.4636646,0.005623413251903491
0,0,523.68164,18.60803,0.42202994,0.03162277660168379
1,1,530.8591,18.786394,0.42720744,0.03162277660168379
2,2,538.11926,18.965296,0.4324115,0.03162277660168379
3,3,545.463,19.144646,0.43764162,0.03162277660168379
4,4,552.8933,19.32461,0.44290665,0.03162277660168379
5,5,560.4099,19.505041,0.44820184,0.03162277660168379
6,6,568.01337,19.685942,0.45352757,0.03162277660168379
7,7,575.70374,19.867256,0.45887962,0.03162277660168379
8,8,583.4857,20.049162,0.46427378,0.03162277660168379
9,9,591.3581,20.231493,0.4696979,0.03162277660168379
10,10,599.3211,20.414297,0.47515437,0.03162277660168379
