,n steps,MSE,MAE,MAPE,eps
0,0,588.3577,19.779062,0.45501,0.001
1,1,588.40936,19.780405,0.45504943,0.001
2,2,588.461,19.781748,0.4550888,0.001
3,3,588.51263,19.78309,0.45512825,0.001
4,4,588.5643,19.784433,0.4551677,0.001
5,5,588.6161,19.785776,0.4552071,0.001
6,6,588.6677,19.787119,0.45524657,0.001
7,7,588.7194,19.788462,0.455286,0.001
8,8,588.771,19.789804,0.45532542,0.001
9,9,588.82275,19.791147,0.45536488,0.001
10,10,588.8745,19.792492,0.4554043,0.001
11,11,588.92615,19.793833,0.45544377,0.001
12,12,588.97784,19.795176,0.45548317,0.001
13,13,589.0296,19.79652,0.45552266,0.001
14,14,589.08124,19.797861,0.45556208,0.001
15,15,589.13306,19.799206,0.45560154,0.001
16,16,589.18475,19.800549,0.455641,0.001
17,17,589.2365,19.801891,0.4556804,0.001
18,18,589.28815,19.803234,0.4557199,0.001
19,19,589.33997,19.804575,0.45575935,0.001
20,20,589.39166,19.805918,0.45579877,0.001
21,21,589.4434,19.807264,0.4558382,0.001
22,22,589.4952,19.808607,0.45587766,0.001
23,23,589.54694,19.809948,0.45591718,0.001
24,24,589.59863,19.811289,0.45595658,0.001
25,25,589.65045,19.812635,0.45599604,0.001
26,26,589.7023,19.813976,0.45603555,0.001
27,27,589.754,19.815321,0.45607498,0.001
28,28,589.8058,19.816664,0.45611444,0.001
29,29,589.85754,19.818005,0.45615387,0.001
30,30,589.90936,19.81935,0.45619336,0.001
31,31,589.9612,19.820692,0.45623288,0.001
32,32,590.013,19.822035,0.4562723,0.001
33,33,590.06476,19.823376,0.45631182,0.001
34,34,590.11646,19.82472,0.45635122,0.001
35,35,590.1684,19.826065,0.45639074,0.001
36,36,590.22015,19.827408,0.4564302,0.001
37,37,590.272,19.828749,0.45646963,0.001
38,38,590.3238,19.830093,0.4565092,0.001
39,39,590.3757,19.831436,0.4565486,0.001
40,40,590.4275,19.832779,0.4565881,0.001
41,41,590.4794,19.834122,0.45662755,0.001
42,42,590.5311,19.835464,0.45666707,0.001
43,43,590.58295,19.836807,0.45670652,0.001
44,44,590.6349,19.838152,0.456746,0.001
45,45,590.6867,19.839493,0.4567855,0.001
46,46,590.7385,19.840837,0.45682496,0.001
47,47,590.7904,19.84218,0.45686448,0.001
48,48,590.8423,19.843523,0.45690393,0.001
49,49,590.89417,19.844866,0.45694342,0.001
0,0,588.59656,19.785265,0.45519227,0.005623413251903491
1,1,588.8872,19.79281,0.4554141,0.005623413251903491
2,2,589.17804,19.800358,0.45563588,0.005623413251903491
3,3,589.469,19.807903,0.4558578,0.005623413251903491
4,4,589.76,19.815449,0.45607963,0.005623413251903491
5,5,590.0513,19.822994,0.45630157,0.005623413251903491
6,6,590.3427,19.830542,0.45652363,0.005623413251903491
7,7,590.6341,19.838087,0.4567456,0.005623413251903491
8,8,590.92584,19.845634,0.45696765,0.005623413251903491
9,9,591.21765,19.853184,0.45718977,0.005623413251903491
10,10,591.50964,19.86073,0.4574119,0.005623413251903491
11,11,591.8017,19.868277,0.4576341,0.005623413251903491
12,12,592.0939,19.875826,0.45785627,0.005623413251903491
13,13,592.38635,19.883373,0.45807853,0.005623413251903491
14,14,592.67883,19.89092,0.45830083,0.005623413251903491
15,15,592.97144,19.898468,0.45852312,0.005623413251903491
16,16,593.2643,19.906015,0.45874557,0.005623413251903491
17,17,593.55725,19.913567,0.4589679,0.005623413251903491
18,18,593.85034,19.921114,0.45919037,0.005623413251903491
19,19,594.14355,19.928663,0.4594129,0.005623413251903491
20,20,594.437,19.936213,0.45963544,0.005623413251903491
21,21,594.73047,19.943764,0.459858,0.005623413251903491
22,22,595.0241,19.951311,0.46008062,0.005623413251903491
23,23,595.31793,19.95886,0.46030325,0.005623413251903491
24,24,595.6119,19.96641,0.46052596,0.005623413251903491
25,25,595.906,19.97396,0.46074867,0.005623413251903491
26,26,596.2003,19.981512,0.46097144,0.005623413251903491
27,27,596.4947,19.989063,0.46119425,0.005623413251903491
28,28,596.78925,19.996613,0.46141708,0.005623413251903491
29,29,597.08386,20.004164,0.46164,0.005623413251903491
30,30,597.3787,20.011715,0.4618629,0.005623413251903491
31,31,597.6737,20.019266,0.46208584,0.005623413251903491
32,32,597.9689,20.02682,0.46230888,0.005623413251903491
33,33,598.26404,20.03437,0.4625319,0.005623413251903491
34,34,598.55945,20.041922,0.46275502,0.005623413251903491
35,35,598.85504,20.049475,0.46297812,0.005623413251903491
36,36,599.15076,20.057026,0.46320125,0.005623413251903491
37,37,599.4466,20.064579,0.46342453,0.005623413251903491
38,38,599.7425,20.072132,0.46364775,0.005623413251903491
39,39,600.03864,20.079685,0.463871,0.005623413251903491
40,40,600.3349,20.087238,0.46409437,0.005623413251903491
41,41,600.6314,20.094791,0.46431774,0.005623413251903491
42,42,600.928,20.102345,0.46454114,0.005623413251903491
43,43,601.2247,20.109898,0.46476457,0.005623413251903491
44,44,601.5215,20.11745,0.46498805,0.005623413251903491
45,45,601.8185,20.125004,0.46521157,0.005623413251903491
46,46,602.1157,20.132563,0.46543515,0.005623413251903491
47,47,602.41296,20.140116,0.46565875,0.005623413251903491
48,48,602.7104,20.14767,0.4658824,0.005623413251903491
49,49,603.00806,20.155224,0.46610612,0.005623413251903491
0,0,589.94147,19.820145,0.456218,0.03162277660168379
1,1,591.5816,19.862574,0.45746675,0.03162277660168379
2,2,593.22626,19.905012,0.45871663,0.03162277660168379
3,3,594.87537,19.947453,0.45996782,0.03162277660168379
4,4,596.52905,19.989902,0.46122026,0.03162277660168379
5,5,598.18726,20.032358,0.46247393,0.03162277660168379
6,6,599.8501,20.07482,0.46372887,0.03162277660168379
7,7,601.51746,20.117287,0.4649852,0.03162277660168379
8,8,603.1896,20.15976,0.46624264,0.03162277660168379
9,9,604.8662,20.202242,0.4675014,0.03162277660168379
10,10,606.54755,20.244726,0.46876147,0.03162277660168379
11,11,608.23346,20.287218,0.47002277,0.03162277660168379
12,12,609.9241,20.329718,0.47128543,0.03162277660168379
13,13,611.61926,20.372223,0.4725494,0.03162277660168379
14,14,613.3193,20.414736,0.4738146,0.03162277660168379
15,15,615.0239,20.457253,0.4750811,0.03162277660168379
16,16,616.7334,20.499779,0.47634897,0.03162277660168379
17,17,618.4475,20.542307,0.47761813,0.03162277660168379
18,18,620.1664,20.584845,0.4788886,0.03162277660168379
19,19,621.89014,20.62739,0.4801604,0.03162277660168379
20,20,623.6185,20.669939,0.4814335,0.03162277660168379
21,21,625.3518,20.712498,0.48270795,0.03162277660168379
22,22,627.0898,20.75506,0.4839837,0.03162277660168379
23,23,628.83276,20.797632,0.48526087,0.03162277660168379
24,24,630.58057,20.840206,0.48653927,0.03162277660168379
25,25,632.3332,20.88279,0.4878191,0.03162277660168379
26,26,634.09064,20.92538,0.48910025,0.03162277660168379
27,27,635.8531,20.967976,0.49038276,0.03162277660168379
28,28,637.6205,21.010578,0.49166664,0.03162277660168379
29,29,639.39264,21.053185,0.49295187,0.03162277660168379
30,30,641.1699,21.0958,0.49423844,0.03162277660168379
31,31,642.95215,21.138424,0.49552637,0.03162277660168379
32,32,644.7394,21.181051,0.49681568,0.03162277660168379
33,33,646.5316,21.223686,0.49810648,0.03162277660168379
34,34,648.3288,21.266327,0.4993984,0.03162277660168379
35,35,650.13116,21.308977,0.5006919,0.03162277660168379
36,36,651.93854,21.351633,0.5019867,0.03162277660168379
37,37,653.751,21.394293,0.50328285,0.03162277660168379
38,38,655.56854,21.43696,0.50458044,0.03162277660168379
39,39,657.39124,21.479635,0.5058794,0.03162277660168379
40,40,659.21906,21.522316,0.50717974,0.03162277660168379
41,41,661.0521,21.565006,0.5084814,0.03162277660168379
42,42,662.8903,21.6077,0.5097845,0.03162277660168379
43,43,664.7337,21.6504,0.511089,0.03162277660168379
44,44,666.58234,21.69311,0.5123949,0.03162277660168379
45,45,668.4362,21.735819,0.5137022,0.03162277660168379
46,46,670.2954,21.778543,0.5150109,0.03162277660168379
47,47,672.15985,21.82127,0.51632094,0.03162277660168379
48,48,674.02966,21.864002,0.51763237,0.03162277660168379
49,49,675.9047,21.906744,0.51894516,0.03162277660168379
0,0,597.5623,20.016376,0.46200177,0.1778279410038923
1,1,606.9634,20.255228,0.4690728,0.1778279410038923
2,2,616.5114,20.494276,0.4761845,0.1778279410038923
3,3,626.2092,20.733526,0.48333752,0.1778279410038923
4,4,636.05963,20.97298,0.49053276,0.1778279410038923
5,5,646.06573,21.212639,0.49777082,0.1778279410038923
6,6,656.23065,21.452501,0.50505215,0.1778279410038923
7,7,666.55786,21.692572,0.5123772,0.1778279410038923
8,8,677.05115,21.932846,0.519746,0.1778279410038923
9,9,687.7141,22.173319,0.5271586,0.1778279410038923
10,10,698.5508,22.413996,0.5346151,0.1778279410038923
11,11,709.5652,22.65486,0.54211456,0.1778279410038923
12,12,720.7613,22.895908,0.54965675,0.1778279410038923
13,13,732.14307,23.137129,0.55724055,0.1778279410038923
14,14,743.7148,23.378515,0.5648649,0.1778279410038923
15,15,755.48035,23.620049,0.57252824,0.1778279410038923
16,16,767.4437,23.861715,0.58022916,0.1778279410038923
17,17,779.60864,24.103493,0.5879655,0.1778279410038923
18,18,791.9788,24.345358,0.5957354,0.1778279410038923
19,19,804.55756,24.58729,0.60353637,0.1778279410038923
20,20,817.3482,24.829262,0.6113662,0.1778279410038923
21,21,830.3531,25.071238,0.6192217,0.1778279410038923
22,22,843.57495,25.313194,0.6270999,0.1778279410038923
23,23,857.0152,25.555092,0.6349975,0.1778279410038923
24,24,870.67566,25.7969,0.6429113,0.1778279410038923
25,25,884.55725,26.038582,0.650838,0.1778279410038923
26,26,898.6605,26.28011,0.65877426,0.1778279410038923
27,27,912.98553,26.52144,0.6667166,0.1778279410038923
28,28,927.5316,26.762539,0.6746613,0.1778279410038923
29,29,942.2979,27.00338,0.6826052,0.1778279410038923
30,30,957.28253,27.243925,0.69054496,0.1778279410038923
31,31,972.48395,27.484144,0.69847757,0.1778279410038923
32,32,987.8996,27.72402,0.7063997,0.1778279410038923
33,33,1003.5266,27.963512,0.71430826,0.1778279410038923
34,34,1019.3628,28.20261,0.72220117,0.1778279410038923
35,35,1035.405,28.441296,0.7300759,0.1778279410038923
36,36,1051.6495,28.679546,0.73793006,0.1778279410038923
37,37,1068.0928,28.917345,0.74576116,0.1778279410038923
38,38,1084.7308,29.15468,0.7535673,0.1778279410038923
39,39,1101.5596,29.391539,0.7613463,0.1778279410038923
40,40,1118.5751,29.627916,0.76909703,0.1778279410038923
41,41,1135.7736,29.863806,0.7768178,0.1778279410038923
42,42,1153.1512,30.099205,0.7845079,0.1778279410038923
43,43,1170.7037,30.334114,0.79216564,0.1778279410038923
44,44,1188.4275,30.568533,0.7997906,0.1778279410038923
45,45,1206.3185,30.802473,0.8073817,0.1778279410038923
46,46,1224.373,31.035934,0.8149386,0.1778279410038923
47,47,1242.5885,31.268927,0.82246137,0.1778279410038923
48,48,1260.9613,31.50147,0.8299494,0.1778279410038923
49,49,1279.488,31.733568,0.8374025,0.1778279410038923
0,0,642.27216,21.122147,0.4950329,1.0
1,1,701.22174,22.472559,0.53643215,1.0
2,2,765.79346,23.82822,0.5791516,1.0
3,3,836.6599,25.186745,0.622957,1.0
4,4,914.3075,26.54331,0.66738975,1.0
5,5,998.8062,27.891874,0.7118522,1.0
6,6,1089.8076,29.227592,0.7558188,1.0
7,7,1186.6858,30.547894,0.79890984,1.0
8,8,1288.6576,31.852034,0.8408837,1.0
9,9,1395.0966,33.141823,0.88168216,1.0
10,10,1505.7666,34.42116,0.9214104,1.0
11,11,1621.6271,35.699627,0.9606264,1.0
12,12,1744.5413,36.98947,1.0000535,1.0
13,13,1876.6207,38.302017,1.040288,1.0
14,14,2020.615,39.649822,1.0819597,1.0
15,15,2178.0793,41.03832,1.1252375,1.0
16,16,2350.3171,42.470585,1.1701027,1.0
17,17,2538.1172,43.94517,1.216366,1.0
18,18,2737.7407,45.441814,1.2628036,1.0
19,19,2943.2148,46.933327,1.3081119,1.0
20,20,3148.307,48.39507,1.3511993,1.0
21,21,3348.0234,49.810307,1.3913717,1.0
22,22,3539.9072,51.173332,1.428549,1.0
23,23,3723.481,52.485516,1.4629896,1.0
24,24,3897.696,53.745937,1.4947869,1.0
25,25,4063.569,54.961174,1.5243257,1.0
26,26,4222.8784,56.139797,1.5519811,1.0
27,27,4377.693,57.29117,1.5782895,1.0
28,28,4529.0366,58.420372,1.6033902,1.0
29,29,4677.2246,59.529617,1.627503,1.0
30,30,4823.318,60.62326,1.6507517,1.0
31,31,4968.4346,61.705986,1.6734478,1.0
32,32,5113.4326,62.78102,1.6956819,1.0
33,33,5259.935,63.85387,1.7177502,1.0
34,34,5406.825,64.92072,1.7395508,1.0
35,35,5555.808,65.98692,1.7612339,1.0
36,36,5705.0107,67.046364,1.7826893,1.0
37,37,5856.1987,68.1047,1.8040571,1.0
38,38,6008.1685,69.15849,1.8252836,1.0
39,39,6162.835,70.21393,1.8465612,1.0
40,40,6319.519,71.269165,1.8678435,1.0
41,41,6477.481,72.322075,1.8889496,1.0
42,42,6639.49,73.38096,1.9104221,1.0
43,43,6802.145,74.435844,1.9316324,1.0
44,44,6967.667,75.493484,1.9529785,1.0
45,45,7135.7217,76.552895,1.9743519,1.0
46,46,7306.5093,77.614365,1.9958898,1.0
47,47,7479.09,78.67535,2.0173047,1.0
48,48,7655.228,79.74049,2.038979,1.0
49,49,7834.145,80.80754,2.060732,1.0
