,n steps,MSE,MAE,MAPE,eps
1,1,1451.4341,26.86048,0.13251156,0.03162277660168379
2,2,1451.989,26.882952,0.13269807,0.03162277660168379
3,3,1452.5469,26.905499,0.13288517,0.03162277660168379
4,4,1453.1077,26.928185,0.13307358,0.03162277660168379
5,5,1453.6718,26.950972,0.13326283,0.03162277660168379
6,6,1454.2389,26.97388,0.13345318,0.03162277660168379
7,7,1454.8091,26.996931,0.13364471,0.03162277660168379
8,8,1455.3823,27.020092,0.13383713,0.03162277660168379
9,9,1455.9589,27.04334,0.13403037,0.03162277660168379
10,10,1456.5383,27.066658,0.13422425,0.03162277660168379
11,11,1457.1208,27.090082,0.13441902,0.03162277660168379
12,12,1457.7067,27.11361,0.13461468,0.03162277660168379
13,13,1458.2952,27.137217,0.13481098,0.03162277660168379
14,14,1458.887,27.160908,0.13500804,0.03162277660168379
15,15,1459.482,27.184689,0.13520585,0.03162277660168379
16,16,1460.08,27.208525,0.13540411,0.03162277660168379
17,17,1460.6809,27.232433,0.13560297,0.03162277660168379
18,18,1461.2849,27.256405,0.13580233,0.03162277660168379
19,19,1461.8921,27.280436,0.13600217,0.03162277660168379
20,20,1462.5022,27.30452,0.13620247,0.03162277660168379
21,21,1463.1155,27.328665,0.13640332,0.03162277660168379
22,22,1463.7317,27.35287,0.13660464,0.03162277660168379
23,23,1464.3513,27.377106,0.13680623,0.03162277660168379
24,24,1464.9735,27.401407,0.13700834,0.03162277660168379
25,25,1465.599,27.425776,0.13721105,0.03162277660168379
26,26,1466.2275,27.4502,0.13741419,0.03162277660168379
27,27,1466.8593,27.474686,0.1376179,0.03162277660168379
28,28,1467.494,27.499233,0.13782206,0.03162277660168379
29,29,1468.1318,27.523811,0.13802642,0.03162277660168379
30,30,1468.7727,27.548399,0.13823093,0.03162277660168379
31,31,1469.4164,27.573017,0.13843563,0.03162277660168379
32,32,1470.0632,27.597687,0.13864079,0.03162277660168379
33,33,1470.7133,27.6224,0.13884625,0.03162277660168379
34,34,1471.3661,27.647135,0.1390519,0.03162277660168379
35,35,1472.0222,27.6719,0.13925773,0.03162277660168379
36,36,1472.6814,27.696695,0.1394639,0.03162277660168379
37,37,1473.3434,27.72152,0.13967028,0.03162277660168379
38,38,1474.0087,27.746384,0.13987695,0.03162277660168379
39,39,1474.6768,27.77126,0.14008367,0.03162277660168379
40,40,1475.348,27.796177,0.14029063,0.03162277660168379
41,41,1476.0223,27.821093,0.14049765,0.03162277660168379
42,42,1476.6995,27.84602,0.14070472,0.03162277660168379
43,43,1477.3796,27.87096,0.14091186,0.03162277660168379
44,44,1478.0629,27.895914,0.14111912,0.03162277660168379
45,45,1478.7491,27.920895,0.14132655,0.03162277660168379
46,46,1479.4385,27.945889,0.14153408,0.03162277660168379
47,47,1480.1309,27.970896,0.14174172,0.03162277660168379
48,48,1480.8262,27.995922,0.14194946,0.03162277660168379
49,49,1481.5243,28.020947,0.1421572,0.03162277660168379
0,0,1453.7395,26.954227,0.13329446,0.1778279410038923
1,1,1456.9645,27.083027,0.13436414,0.1778279410038923
2,2,1460.2886,27.215391,0.1354648,0.1778279410038923
3,3,1463.7112,27.350334,0.13658743,0.1778279410038923
4,4,1467.2305,27.487045,0.13772456,0.1778279410038923
5,5,1470.8484,27.625582,0.13887694,0.1778279410038923
6,6,1474.5636,27.76533,0.14003895,0.1778279410038923
7,7,1478.3748,27.905895,0.14120723,0.1778279410038923
8,8,1482.2826,28.04705,0.1423795,0.1778279410038923
9,9,1486.283,28.188309,0.14355157,0.1778279410038923
10,10,1490.3799,28.330107,0.14472745,0.1778279410038923
11,11,1494.5714,28.47224,0.1459051,0.1778279410038923
12,12,1498.8568,28.614643,0.14708419,0.1778279410038923
13,13,1503.2352,28.757135,0.14826317,0.1778279410038923
14,14,1507.7074,28.899916,0.14944345,0.1778279410038923
15,15,1512.2731,29.042772,0.15062353,0.1778279410038923
16,16,1516.9296,29.185638,0.15180288,0.1778279410038923
17,17,1521.6787,29.328558,0.15298165,0.1778279410038923
18,18,1526.5198,29.471582,0.15416044,0.1778279410038923
19,19,1531.4529,29.614721,0.15533924,0.1778279410038923
20,20,1536.478,29.757952,0.15651798,0.1778279410038923
21,21,1541.5924,29.901114,0.15769525,0.1778279410038923
22,22,1546.7997,30.044386,0.15887251,0.1778279410038923
23,23,1552.0955,30.187635,0.16004874,0.1778279410038923
24,24,1557.4816,30.330929,0.1612244,0.1778279410038923
25,25,1562.9557,30.474215,0.16239914,0.1778279410038923
26,26,1568.517,30.617443,0.16357249,0.1778279410038923
27,27,1574.1678,30.760706,0.16474515,0.1778279410038923
28,28,1579.9053,30.903948,0.16591667,0.1778279410038923
29,29,1585.7295,31.047148,0.16708702,0.1778279410038923
30,30,1591.6405,31.19038,0.16825663,0.1778279410038923
31,31,1597.6378,31.333603,0.16942517,0.1778279410038923
32,32,1603.7196,31.4768,0.17059253,0.1778279410038923
33,33,1609.8845,31.619858,0.17175777,0.1778279410038923
34,34,1616.1354,31.762934,0.17292209,0.1778279410038923
35,35,1622.4689,31.905943,0.1740849,0.1778279410038923
36,36,1628.8827,32.04881,0.17524563,0.1778279410038923
37,37,1635.3805,32.19169,0.1764052,0.1778279410038923
38,38,1641.9592,32.334454,0.17756294,0.1778279410038923
39,39,1648.6139,32.477066,0.17871831,0.1778279410038923
40,40,1655.3473,32.61958,0.17987178,0.1778279410038923
41,41,1662.1572,32.76192,0.18102275,0.1778279410038923
42,42,1669.0464,32.904205,0.18217215,0.1778279410038923
43,43,1676.0073,33.046303,0.1833188,0.1778279410038923
44,44,1683.0446,33.188305,0.18446352,0.1778279410038923
45,45,1690.1542,33.330112,0.1856055,0.1778279410038923
46,46,1697.333,33.471706,0.18674454,0.1778279410038923
47,47,1704.5896,33.613274,0.18788211,0.1778279410038923
48,48,1711.912,33.754574,0.18901622,0.1778279410038923
49,49,1719.3036,33.895676,0.19014758,0.1778279410038923
0,0,1471.1039,27.610039,0.13875405,1.0
1,1,1493.2845,28.411371,0.1454245,1.0
2,2,1518.5133,29.227566,0.15218577,1.0
3,3,1546.592,30.036629,0.15884927,1.0
4,4,1577.466,30.842848,0.1654575,1.0
5,5,1611.0884,31.64756,0.1720231,1.0
6,6,1647.348,32.450417,0.17854163,1.0
7,7,1686.1289,33.250584,0.18500417,1.0
8,8,1727.2788,34.046978,0.19139811,1.0
9,9,1770.553,34.837112,0.1977017,1.0
10,10,1815.822,35.620968,0.20391035,1.0
11,11,1862.8964,36.398106,0.21001856,1.0
12,12,1911.6091,37.16797,0.21601813,1.0
13,13,1961.8203,37.930656,0.2219116,1.0
14,14,2013.529,38.687977,0.22770819,1.0
15,15,2066.5498,39.439034,0.23339926,1.0
16,16,2120.8723,40.185207,0.2389941,1.0
17,17,2176.4824,40.927902,0.24450308,1.0
18,18,2233.2737,41.66684,0.24992278,1.0
19,19,2291.2803,42.4036,0.25526583,1.0
20,20,2350.5247,43.13934,0.26054096,1.0
21,21,2411.0264,43.874905,0.2657562,1.0
22,22,2472.7292,44.610268,0.27091005,1.0
23,23,2535.7446,45.347,0.2760157,1.0
24,24,2600.0024,46.084877,0.28107205,1.0
25,25,2665.6238,46.825123,0.28608817,1.0
26,26,2732.5352,47.56727,0.29106095,1.0
27,27,2800.711,48.311253,0.29598948,1.0
28,28,2870.313,49.05845,0.3008863,1.0
29,29,2941.4143,49.809494,0.30575112,1.0
30,30,3014.0564,50.56474,0.3105938,1.0
31,31,3088.4714,51.325928,0.31542924,1.0
32,32,3164.6973,52.092937,0.32025453,1.0
33,33,3243.0083,52.868183,0.32509235,1.0
34,34,3323.4087,53.650826,0.32993492,1.0
35,35,3406.2007,54.44305,0.3348011,1.0
36,36,3491.3657,55.24419,0.33968633,1.0
37,37,3579.1172,56.055458,0.3446015,1.0
38,38,3669.56,56.87686,0.34954774,1.0
39,39,3762.7324,57.708588,0.35452658,1.0
40,40,3858.7275,58.55045,0.35953775,1.0
41,41,3957.6365,59.402756,0.36458737,1.0
42,42,4059.47,60.264927,0.36966696,1.0
43,43,4164.3174,61.137093,0.37478015,1.0
44,44,4272.1743,62.018787,0.37992638,1.0
45,45,4383.095,62.909588,0.38510457,1.0
46,46,4497.024,63.808887,0.39030656,1.0
47,47,4613.953,64.7161,0.3955341,1.0
48,48,4733.915,65.63096,0.40078476,1.0
49,49,4856.788,66.55219,0.406053,1.0
