,n steps,MSE,MAE,MAPE,eps
0,0,134.56517,5.6368837,0.078712486,0.001
1,1,134.66968,5.6442304,0.078849226,0.001
2,2,134.77434,5.651582,0.07898607,0.001
3,3,134.87917,5.6589427,0.07912309,0.001
4,4,134.98413,5.666309,0.07926027,0.001
5,5,135.08923,5.673684,0.07939759,0.001
6,6,135.19452,5.681067,0.079535075,0.001
7,7,135.29994,5.6884584,0.079672754,0.001
8,8,135.40549,5.695857,0.07981059,0.001
9,9,135.51123,5.703262,0.07994857,0.001
10,10,135.61711,5.7106733,0.0800867,0.001
11,11,135.72314,5.7180915,0.080225006,0.001
12,12,135.82935,5.725518,0.08036345,0.001
13,13,135.93568,5.732952,0.08050205,0.001
14,14,136.04219,5.740394,0.08064082,0.001
15,15,136.14885,5.747844,0.080779776,0.001
16,16,136.25565,5.7553024,0.0809189,0.001
17,17,136.36264,5.7627673,0.08105818,0.001
18,18,136.46973,5.7702384,0.0811976,0.001
19,19,136.577,5.7777176,0.08133718,0.001
20,20,136.68443,5.7852035,0.08147694,0.001
21,21,136.792,5.7926965,0.08161684,0.001
22,22,136.89977,5.800195,0.0817569,0.001
23,23,137.00766,5.807701,0.08189709,0.001
24,24,137.1157,5.8152127,0.08203743,0.001
25,25,137.22389,5.8227305,0.08217789,0.001
26,26,137.33224,5.8302546,0.08231849,0.001
27,27,137.44078,5.837787,0.08245928,0.001
28,28,137.54944,5.8453283,0.08260024,0.001
29,29,137.65826,5.852878,0.08274138,0.001
30,30,137.76724,5.8604364,0.082882755,0.001
31,31,137.8764,5.868004,0.0830243,0.001
32,32,137.9857,5.875578,0.083165996,0.001
33,33,138.09515,5.8831596,0.083307855,0.001
34,34,138.20479,5.8907475,0.083449885,0.001
35,35,138.31456,5.8983417,0.08359206,0.001
36,36,138.42448,5.905942,0.08373437,0.001
37,37,138.53459,5.91355,0.08387686,0.001
38,38,138.64484,5.921167,0.08401954,0.001
39,39,138.75525,5.9287896,0.08416237,0.001
40,40,138.8658,5.9364185,0.084305316,0.001
41,41,138.97653,5.9440536,0.08444843,0.001
42,42,139.0874,5.9516964,0.0845917,0.001
43,43,139.19846,5.9593472,0.084735155,0.001
44,44,139.30968,5.9670086,0.08487886,0.001
45,45,139.42104,5.974676,0.0850227,0.001
46,46,139.53256,5.98235,0.08516666,0.001
47,47,139.64424,5.990029,0.08531076,0.001
48,48,139.75609,5.9977145,0.085454985,0.001
49,49,139.86807,6.0054073,0.08559935,0.001
0,0,135.0494,5.6709437,0.079347104,0.005623413251903491
1,1,135.64278,5.712567,0.08012317,0.005623413251903491
2,2,136.24098,5.754421,0.08090431,0.005623413251903491
3,3,136.8441,5.7965,0.08169022,0.005623413251903491
4,4,137.45215,5.8388057,0.08248135,0.005623413251903491
5,5,138.06512,5.8813543,0.08327795,0.005623413251903491
6,6,138.68314,5.9241266,0.08407955,0.005623413251903491
7,7,139.30609,5.967118,0.08488618,0.005623413251903491
8,8,139.93416,6.0103474,0.085698016,0.005623413251903491
9,9,140.56723,6.0537744,0.08651438,0.005623413251903491
10,10,141.20537,6.0974216,0.08733584,0.005623413251903491
11,11,141.84862,6.1412735,0.08816201,0.005623413251903491
12,12,142.49695,6.185324,0.088992886,0.005623413251903491
13,13,143.15047,6.229593,0.089828946,0.005623413251903491
14,14,143.80919,6.274065,0.09066986,0.005623413251903491
15,15,144.47316,6.318746,0.09151558,0.005623413251903491
16,16,145.14236,6.3636227,0.09236574,0.005623413251903491
17,17,145.81682,6.408669,0.09321993,0.005623413251903491
18,18,146.49657,6.4539075,0.09407849,0.005623413251903491
19,19,147.18166,6.499331,0.0949411,0.005623413251903491
20,20,147.87202,6.5449204,0.09580769,0.005623413251903491
21,21,148.5677,6.5906873,0.09667854,0.005623413251903491
22,22,149.26869,6.636617,0.09755334,0.005623413251903491
23,23,149.97499,6.6827044,0.09843188,0.005623413251903491
24,24,150.68665,6.7289352,0.09931387,0.005623413251903491
25,25,151.40366,6.775306,0.1001996,0.005623413251903491
26,26,152.126,6.8218327,0.101088874,0.005623413251903491
27,27,152.85373,6.868503,0.101981595,0.005623413251903491
28,28,153.58684,6.915311,0.10287742,0.005623413251903491
29,29,154.32536,6.9622374,0.10377588,0.005623413251903491
30,30,155.06935,7.0093036,0.10467741,0.005623413251903491
31,31,155.8188,7.056511,0.10558193,0.005623413251903491
32,32,156.5737,7.1038365,0.10648934,0.005623413251903491
33,33,157.33405,7.1512856,0.107399546,0.005623413251903491
34,34,158.09987,7.1988497,0.108312495,0.005623413251903491
35,35,158.87114,7.2465215,0.109227866,0.005623413251903491
36,36,159.64789,7.2943063,0.110145964,0.005623413251903491
37,37,160.43015,7.342193,0.11106626,0.005623413251903491
38,38,161.21793,7.390198,0.11198927,0.005623413251903491
39,39,162.01126,7.4383063,0.11291475,0.005623413251903491
40,40,162.81009,7.486527,0.113842845,0.005623413251903491
41,41,163.61443,7.534841,0.11477341,0.005623413251903491
42,42,164.4243,7.5832534,0.115706295,0.005623413251903491
43,43,165.23969,7.6317606,0.11664143,0.005623413251903491
44,44,166.06062,7.68036,0.11757878,0.005623413251903491
45,45,166.88707,7.7290473,0.11851815,0.005623413251903491
46,46,167.71901,7.7778144,0.11945934,0.005623413251903491
47,47,168.5565,7.826671,0.120402634,0.005623413251903491
48,48,169.39955,7.87561,0.12134768,0.005623413251903491
49,49,170.24814,7.9246235,0.12229456,0.005623413251903491
0,0,137.83536,5.8669806,0.08302336,0.03162277660168379
1,1,141.3675,6.1116705,0.08763401,0.03162277660168379
2,2,145.06165,6.3628793,0.09239503,0.03162277660168379
3,3,148.92314,6.620326,0.0973062,0.03162277660168379
4,4,152.9539,6.882754,0.10233966,0.03162277660168379
5,5,157.15678,7.149635,0.10747681,0.03162277660168379
6,6,161.53452,7.420453,0.112707295,0.03162277660168379
7,7,166.08778,7.694387,0.11800875,0.03162277660168379
8,8,170.81676,7.9708037,0.12336614,0.03162277660168379
9,9,175.72232,8.249485,0.1287785,0.03162277660168379
10,10,180.80644,8.530332,0.13423897,0.03162277660168379
11,11,186.0686,8.812771,0.13973272,0.03162277660168379
12,12,191.50912,9.096587,0.14525315,0.03162277660168379
13,13,197.12726,9.381468,0.15079191,0.03162277660168379
14,14,202.9237,9.667262,0.15634182,0.03162277660168379
15,15,208.89825,9.953761,0.16189633,0.03162277660168379
16,16,215.0506,10.240909,0.16745192,0.03162277660168379
17,17,221.37909,10.528412,0.17300184,0.03162277660168379
18,18,227.8841,10.81624,0.17854473,0.03162277660168379
19,19,234.56459,11.104291,0.184078,0.03162277660168379
20,20,241.41945,11.392498,0.18960029,0.03162277660168379
21,21,248.44781,11.680761,0.19511019,0.03162277660168379
22,22,255.6488,11.969027,0.20060602,0.03162277660168379
23,23,263.0215,12.257246,0.20608729,0.03162277660168379
24,24,270.56427,12.54527,0.21155232,0.03162277660168379
25,25,278.2764,12.833158,0.21700102,0.03162277660168379
26,26,286.15607,13.120751,0.22243138,0.03162277660168379
27,27,294.2025,13.408008,0.2278425,0.03162277660168379
28,28,302.41376,13.694872,0.23323376,0.03162277660168379
29,29,310.78815,13.981284,0.23860417,0.03162277660168379
